"Source","Target","Classification","Status"
"C:\Users\chine\Projects\proagentic-dfx\docs\analysis\rtm\DUPLICATE_REQUIREMENTS_REPORT.md","C:\Users\chine\Projects\proagentic-dfx\docs\explanation\rtm\DUPLICATE_REQUIREMENTS_REPORT.md","explanation","Moved"
"C:\Users\chine\Projects\proagentic-dfx\docs\guides\ACTIVATION_GUIDE.md","C:\Users\chine\Projects\proagentic-dfx\docs\howto\ACTIVATION_GUIDE.md","howto","Moved"
"C:\Users\chine\Projects\proagentic-dfx\proagentic-dfx\CAD_IMPLEMENTATION.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\CAD_IMPLEMENTATION.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\proagentic-dfx\CAD_INTEGRATION_SUMMARY.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\CAD_INTEGRATION_SUMMARY.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\proagentic-dfx\COMPLIANCE_SCREEN_REFINEMENT_REPORT.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\COMPLIANCE_SCREEN_REFINEMENT_REPORT.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\proagentic-dfx\DEEP_REFINEMENT_REPORT.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\DEEP_REFINEMENT_REPORT.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\proagentic-dfx\ESLINT_ANALYSIS_REPORT.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\ESLINT_ANALYSIS_REPORT.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\proagentic-dfx\EXPORT_SCREEN_REFINEMENT_REPORT.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\EXPORT_SCREEN_REFINEMENT_REPORT.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\proagentic-dfx\HELP_SYSTEM_IMPLEMENTATION.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\HELP_SYSTEM_IMPLEMENTATION.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\proagentic-dfx\IMPLEMENTATION_SUMMARY.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\IMPLEMENTATION_SUMMARY.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\proagentic-dfx\PARETO_SCREEN_REFINEMENT_REPORT.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\PARETO_SCREEN_REFINEMENT_REPORT.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\proagentic-dfx\VIEWERSCREEN_REFINEMENT_REPORT.md","C:\Users\chine\Projects\proagentic-dfx\docs\test-report\VIEWERSCREEN_REFINEMENT_REPORT.md","test-report","Moved"
"C:\Users\chine\Projects\proagentic-dfx\proagentic-dfx\INSTALLATION_GUIDE.md","C:\Users\chine\Projects\proagentic-dfx\docs\howto\INSTALLATION_GUIDE.md","howto","Moved"
"C:\Users\chine\Projects\proagentic-dfx\proagentic-dfx\MATERIALS_COMPLIANCE_GUIDE.md","C:\Users\chine\Projects\proagentic-dfx\docs\howto\MATERIALS_COMPLIANCE_GUIDE.md","howto","Moved"
"C:\Users\chine\Projects\proagentic-dfx\proagentic-dfx\OPENCASCADE_INTEGRATION_PLAN.md","C:\Users\chine\Projects\proagentic-dfx\docs\explanation\OPENCASCADE_INTEGRATION_PLAN.md","explanation","Moved"
"C:\Users\chine\Projects\proagentic-dfx\proagentic-dfx\README.md","C:\Users\chine\Projects\proagentic-dfx\docs\explanation\FRONTEND_README.md","explanation","Moved"
"C:\Users\chine\Projects\proagentic-dfx\proagentic-dfx\docs\PROAGENTIC_DFX_PLATFORM.md","C:\Users\chine\Projects\proagentic-dfx\docs\explanation\PROAGENTIC_DFX_PLATFORM.md","explanation","Moved"
"C:\Users\chine\Projects\proagentic-dfx\proagentic-dfx\docs\HELP_FRAMEWORK_TOPICS.md","C:\Users\chine\Projects\proagentic-dfx\docs\reference\HELP_FRAMEWORK_TOPICS.md","reference","Moved"
"C:\Users\chine\Projects\proagentic-dfx\proagentic-dfx\src\components\charts\README.md","C:\Users\chine\Projects\proagentic-dfx\docs\reference\CHARTS_API.md","reference","Moved"
"C:\Users\chine\Projects\proagentic-dfx\proagentic-dfx\src\components\help\README.md","C:\Users\chine\Projects\proagentic-dfx\docs\reference\HELP_COMPONENT_API.md","reference","Moved"
"C:\Users\chine\Projects\proagentic-dfx\proagentic-dfx\src\lib\design-system\README.md","C:\Users\chine\Projects\proagentic-dfx\docs\reference\DESIGN_SYSTEM_API.md","reference","Moved"
"C:\Users\chine\Projects\proagentic-dfx\proagentic-dfx\src\components\charts\USAGE.md","C:\Users\chine\Projects\proagentic-dfx\docs\howto\CHARTS_USAGE.md","howto","Moved"
"C:\Users\chine\Projects\proagentic-dfx\proagentic-dfx\src\components\screens\README-DOMAIN-INTEGRATION.md","C:\Users\chine\Projects\proagentic-dfx\docs\explanation\DOMAIN_INTEGRATION.md","explanation","Moved"
