Req_ID,Category,Source_Doc,Source_Section,Requirement_Description,User_Journey_Phase,UI_Element_Needed,Acceptance_Criteria,Priority,Status_in_Frontend_Plan,Enterprise_Ready,Notes
ENT-035,UI-Viewer,Enterprise-Audit,Animation,"Layer-by-layer buildup animation",3-Visualization,Animation player with timeline,"Play/pause animation; Scrub timeline; Speed control; Layer labels",P2,Gap,No,MEDIUM - No animation
ENT-036,UI-Compare,Enterprise-Audit,Visual,"Side-by-side 3D geometry comparison",6-Comparison,Dual 3D viewers with sync,"Two viewers side by side; Synchronized rotation; Difference highlighting",P1,Gap,No,HIGH - Metrics only
ENT-037,UI-Compare,Enterprise-Audit,Diff,"Visual difference highlighting",6-Comparison,Diff indicators on metrics table,"Better values highlighted green; Worse values highlighted red; Difference percentage shown",P1,Gap,No,HIGH - Basic highlighting only
ENT-038,UI-Compare,Enterprise-Audit,Custom,"Custom metric selection for comparison",6-Comparison,Metric selector checkboxes,"Select which metrics to compare; Save metric preferences; Show/hide columns",P2,Gap,No,MEDIUM - Fixed metrics
ENT-039,UI-Compare,Enterprise-Audit,More,"Compare more than 3 designs",6-Comparison,Add design button,"Add up to 10 designs; Remove designs; Scrollable table",P2,Gap,No,MEDIUM - Limited to 3
ENT-040,UI-Analysis,Enterprise-Audit,Failure,"Tsai-Wu failure index visualization",5-Details,Failure contour on 3D model,"Color map of failure index; Values 0-1 shown; Critical regions highlighted",P0,Gap,No,CRITICAL - No composite failure criteria
ENT-041,UI-Analysis,Enterprise-Audit,Failure,"Hashin damage initiation criteria",5-Details,Damage mode indicators per layer,"Fiber/matrix tension/compression modes; Per-layer values; Dominant mode shown",P1,Gap,No,HIGH - No damage criteria
ENT-042,UI-Analysis,Enterprise-Audit,Stress,"Through-thickness stress distribution",5-Details,Layer stress plot/table,"Stress per layer shown; Graph along thickness; Select layer to highlight",P1,Gap,No,HIGH - No layer stress detail
ENT-043,UI-Analysis,Enterprise-Audit,Stress,"Stress concentration factor display",5-Details,SCF values at critical locations,"SCF at dome transition; SCF at boss; Values and locations shown",P1,Gap,No,HIGH - No SCF values
ENT-044,UI-Analysis,Enterprise-Audit,Paths,"Stress along path plots",5-Details,Path definition + line chart,"Define path on geometry; Plot stress along path; Export path data",P2,Gap,No,MEDIUM - No path plots
ENT-045,UI-Compliance,Enterprise-Audit,Clauses,"Clause-by-clause compliance breakdown",7-Export,Expandable clause tree,"Each clause listed; Pass/fail per clause; Evidence link per clause; Notes field",P0,Gap,No,CRITICAL - No clause detail
ENT-046,UI-Compliance,Enterprise-Audit,Evidence,"Traceability to analysis evidence",7-Export,Evidence links per clause,"Click clause to see supporting analysis; Link to specific results; Timestamp",P1,Gap,No,HIGH - No traceability
ENT-047,UI-Compliance,Enterprise-Audit,Gaps,"Compliance gap report generation",7-Export,Generate gap report button,"List all non-compliant items; Suggested actions; Export to PDF",P1,Gap,No,HIGH - No gap report
ENT-048,UI-Compliance,Enterprise-Audit,Waivers,"Deviation/waiver tracking",7-Export,Waiver request form,"Request waiver for non-compliance; Justification field; Approval workflow",P2,Gap,No,MEDIUM - No waiver system
ENT-049,UI-Validation,Enterprise-Audit,FEA,"Surrogate vs FEA comparison view",6-Validation,Comparison chart/table,"Show surrogate prediction; Show FEA result; Calculate error; Confidence interval",P0,Gap,No,CRITICAL - No validation comparison
ENT-050,UI-Validation,Enterprise-Audit,Status,"Per-validation pass/fail status",6-Validation,Status badges per validation item,"Green/red/yellow status; Criteria shown; Details expandable",P1,Gap,No,HIGH - No status indicators
ENT-051,UI-Export,Enterprise-Audit,CAD,"Functional STEP file export",7-Export,STEP download with progress,"Generate valid STEP AP214; Progress indicator; File size shown; Validate before download",P0,Gap,No,CRITICAL - Button exists but doesn't work
ENT-052,UI-Export,Enterprise-Audit,NC,"Functional NC code generation",7-Export,NC download with preview,"Generate valid G-code; Preview winding paths; Machine parameter settings",P0,Gap,No,CRITICAL - Placeholder only
ENT-053,UI-Export,Enterprise-Audit,Custom,"Customizable report content",7-Export,Report builder with sections,"Select report sections; Reorder sections; Add custom text; Preview before export",P1,Gap,No,HIGH - Fixed report format
ENT-054,UI-Sentry,Enterprise-Audit,Markers,"3D sensor location markers on model",6-Validation,Sensor markers on 3D geometry,"Markers at sensor locations; Click marker for details; Toggle visibility",P1,Gap,No,HIGH - Viewer but no markers
ENT-055,UI-Sentry,Enterprise-Audit,Alerts,"Alert threshold configuration",6-Validation,Threshold input form,"Set alert thresholds; Email notification config; Severity levels",P1,Gap,No,HIGH - No alerting
ENT-056,UI-Sentry,Enterprise-Audit,History,"Historical data trending",6-Validation,Time-series charts,"Select time range; Plot sensor data; Export history",P2,Gap,No,MEDIUM - No history
REQ-001,Input,Doc-08,Phase 1,Parse natural language requirements into structured constraints,1-Requirements,Text input with AI parsing,"Input parsed within 2s; All fields populated; Confidence shown; Edit capability",P1,Partial,No,Exists but no confidence indicators
REQ-002,Input,Doc-08,Phase 1,Decode pressure specification (working vs burst),1-Requirements,Clarification display,"Pressure type identified; Conversion shown; User can override",P1,Addressed,Yes,Working
REQ-003,Input,Doc-08,Phase 1,Standards lookup and cross-reference,1-Requirements,Standards list with requirements,"Relevant standards identified; Requirements linked; Version shown",P1,Addressed,Yes,Working
REQ-004,Input,Doc-08,Phase 1,Calculate derived requirements (test pressure burst pressure cycle life),1-Requirements,Derived requirements display,"All derived values calculated; Formulas shown on hover; Units correct",P1,Addressed,Yes,Working
REQ-005,Input,Doc-08,Phase 1,Temperature range determination from application,1-Requirements,Temperature range display,"Temp range populated; Source shown; Override possible",P2,Addressed,Yes,Working
REQ-121,UI-General,Doc-08,Agent Output,Workflow progress indicator,All,Step indicator bar,"Current step highlighted; Completed steps marked; Click to navigate",P1,Partial,No,Exists but no keyboard nav
REQ-122,UI-General,Doc-08,Agent Output,Step navigation (back/forward),All,Navigation buttons,"Back button works; Forward enabled after back; State preserved",P1,Addressed,Yes,Working
REQ-123,UI-General,Doc-08,Agent Output,Data persistence across steps,All,State management,"Data saved between steps; Refresh preserves state; Clear option available",P1,Partial,No,In-memory only - lost on refresh
REQ-190,LLM-Engagement,Doc-Competition,Section 2,Conversational requirements gathering with LLM dialogue,1-Requirements,Chat-style interface with AI responses,"Multi-turn conversation; Context preserved; Follow-up questions generated",P1,Gap,No,Chat exists but not conversational
REQ-191,LLM-Engagement,Doc-Competition,Section 2,Multi-turn dialogue for requirement clarification,1-Requirements,Message history with context,"5+ turn context; Clarification prompts; Progressive refinement",P1,Gap,No,Single-turn only
REQ-296,UI-Professional,Doc-UX,Professional Features,Undo/redo capability for user configuration actions,All,Command pattern state management,"Ctrl+Z works; 50+ action history; Visual indicator",P0,Gap,No,CRITICAL - No undo
REQ-297,UI-Professional,Doc-UX,Professional Features,Auto-save with conflict resolution for concurrent edits,All,Debounced save with version checking,"Auto-save every 30s; Conflict detection; Merge/overwrite choice",P1,Gap,No,No auto-save
REQ-298,UI-Professional,Doc-UX,Professional Features,Session persistence across browser tabs with sync,All,SharedWorker or localStorage sync,"Tabs sync state; No conflicts; Close warning if unsaved",P2,Gap,No,No tab sync
REQ-299,UI-Professional,Doc-UX,Professional Features,Keyboard shortcuts for power users with customization,All,Keyboard shortcut system,"Common shortcuts work; Help overlay (?) shows shortcuts; Customizable",P1,Gap,No,No shortcuts
REQ-300,UI-Professional,Doc-UX,Professional Features,Context-sensitive help system with inline tooltips,All,Help tooltip and panel components,"HelpIcon on all fields; F1 opens panel; Tooltips everywhere",P0,Gap,No,CRITICAL - Not integrated
