Req_ID,Category,Source_Doc,Source_Section,Requirement_Description,User_Journey_Phase,UI_Element_Needed,Data_Required,Backend_Capability,Priority,Status_in_Frontend_Plan,Screen_Location,API_Endpoint,Mock_Server_Status,Data_Mode
REQ-016,Geometry,Doc-08,Phase 3,Isotensoid dome profile generation,Auto,Not shown (auto),Dome coordinates,isotensoid_dome_generator,P1,Addressed,Screen 5 Tab 1: Geometry - Dome Profile,GET /api/designs/{id}/geometry,Addressed,Static
REQ-017,Geometry,Doc-08,Phase 3,Dome profile visualization,3-Visualization,2D dome profile curve,Dome z(r) coordinates,Geometry generator,P1,Addressed,Screen 5 Tab 1: Dome Profile 2D Curve,GET /api/designs/{id}/geometry,Addressed,Static
REQ-018,Geometry,Doc-08,Phase 3,Boss geometry visualization,3-Visualization,Boss profile in context,Boss dimensions,Geometry generator,P1,Addressed,Screen 5 Tab 1: Boss Detail + Dome Profile,GET /api/designs/{id}/geometry,Addressed,Static
REQ-019,Geometry,Doc-08,Phase 3,Geodesic path visualization on dome,3-Visualization,Fiber path lines on 3D,Geodesic calculations,Winding simulator,P2,Deferred,Future enhancement - P2,N/A,Deferred,N/A
REQ-020,Geometry,Doc-08,Phase 5,Winding angle variation on dome,3-Visualization,Angle color map on surface,Angle distribution data,Winding simulator,P2,Deferred,Future enhancement - P2,N/A,Deferred,N/A
REQ-021,Geometry,Doc-08,Phase 5,Thickness distribution visualization,3-Visualization,Thickness color map on surface,Thickness distribution,Winding simulator,P1,Addressed,Screen 5 Tab 1: Thickness Distribution,GET /api/designs/{id}/geometry,Addressed,Static
REQ-022,Geometry,Doc-09,Appendix,Display isotensoid equation and parameters,5-Details,Equation display with values,α₀ r₀ dome_depth,Geometry generator,P3,Addressed,Screen 5 Tab 1: Isotensoid Parameters,GET /api/designs/{id}/geometry,Addressed,Static
REQ-023,Sizing,Doc-08,Phase 4,Netting theory initial sizing display,Auto,Optional detail view,Initial thickness estimate,netting_theory_sizing,P2,Deferred,Future enhancement - P2,N/A,Deferred,N/A
REQ-024,Sizing,Doc-09,3.1,Design variable bounds display,4-Optimization,Parameter ranges,Variable bounds,Config,P2,Deferred,Future enhancement - P2,N/A,Deferred,N/A
REQ-025,Layup,Doc-08,Phase 4,Layup sequence definition display,5-Details,Layer table (type angle thickness),Layup array,Optimizer output,P1,Addressed,Screen 5 Tab 1: Layup Definition Table,GET /api/designs/{id}/geometry,Addressed,Static
REQ-026,Layup,Doc-08,Phase 4,Winding angle display per layer,5-Details,Angle column in layup table,Per-layer angles,Optimizer output,P1,Addressed,Screen 5 Tab 1: Layup Table - Angle Column,GET /api/designs/{id}/geometry,Addressed,Static
REQ-027,Layup,Doc-08,Phase 4,Layer thickness display,5-Details,Thickness column,Per-layer thickness,Optimizer output,P1,Addressed,Screen 5 Tab 1: Layup Table - Thick Column,GET /api/designs/{id}/geometry,Addressed,Static
REQ-028,Layup,Doc-08,Phase 4,Coverage type (full vs cylinder only),5-Details,Coverage column,Coverage per layer,Optimizer output,P1,Addressed,Screen 5 Tab 1: Layup Table - Coverage Column,GET /api/designs/{id}/geometry,Addressed,Static
REQ-029,Layup,Doc-08,Phase 5,Winding turnaround points,5-Details,Turnaround annotation,Winding program,Winding simulator,P3,Deferred,Future enhancement - P3,N/A,Deferred,N/A
REQ-030,Layup,Doc-08,Phase 5,Fiber slippage check visualization,5-Details,Slippage warning overlay,Friction coefficient check,Winding simulator,P2,Deferred,Future enhancement - P2,N/A,Deferred,N/A
REQ-031,3D-View,Doc-08,Phase 5,3D tank model (rotatable),3-Visualization,Three.js canvas with controls,3D geometry data,Geometry generator,P1,Addressed,Screen 5 Tab 1: 3D Interactive Model,GET /api/designs/{id}/geometry,Addressed,Static
REQ-032,3D-View,Doc-08,Phase 5,Layer toggle in 3D view,3-Visualization,Show/hide layer controls,Per-layer geometry,Geometry generator,P1,Addressed,Screen 5 Tab 1: Layer Toggle Controls,GET /api/designs/{id}/geometry,Addressed,Static
REQ-033,3D-View,Doc-08,Phase 5,Helical vs hoop layer distinction,3-Visualization,Color coding by layer type,Layer type data,Optimizer output,P1,Addressed,Screen 5 Tab 1: Layer Toggle,GET /api/designs/{id}/geometry,Addressed,Static
REQ-034,3D-View,Doc-08,Phase 6,Section view (cut-away),3-Visualization,Section plane control,Cross-section geometry,Geometry generator,P1,Addressed,Screen 5 Tab 1: Section View Control,GET /api/designs/{id}/geometry,Addressed,Static
REQ-035,3D-View,Doc-08,Phase 6,Liner visibility in section,3-Visualization,Liner layer in section,Liner geometry,Geometry generator,P1,Addressed,Screen 5 Tab 1: Section View - Liner,GET /api/designs/{id}/geometry,Addressed,Static
REQ-036,3D-View,Doc-08,Phase 6,Boss detail view,3-Visualization,Boss zoom/detail,Boss geometry,Geometry generator,P2,Addressed,Screen 5 Tab 1: Section View - Boss Interface,GET /api/designs/{id}/geometry,Addressed,Static
REQ-037,FEA-Setup,Doc-08,Phase 6,Mesh visualization,6-Validation,Mesh overlay on 3D,Mesh data,FEA interface,P2,Deferred,Future enhancement - P2,N/A,Deferred,N/A
REQ-038,FEA-Setup,Doc-08,Phase 6,Mesh density at dome-cylinder transition,6-Validation,Mesh refinement indication,Mesh metrics,FEA interface,P3,Deferred,Future enhancement - P3,N/A,Deferred,N/A
REQ-039,FEA-Setup,Doc-08,Phase 6,Boundary conditions display,6-Validation,BC annotations on 3D,BC definition,FEA interface,P2,Deferred,Future enhancement - P2,N/A,Deferred,N/A
REQ-040,FEA-Setup,Doc-08,Phase 6,Material assignment visualization,6-Validation,Material color coding,Material zones,FEA interface,P2,Deferred,Future enhancement - P2,N/A,Deferred,N/A
REQ-041,FEA-Results,Doc-08,Phase 7,Stress contour plot (von Mises),5-Details,Color-mapped stress on 3D,Stress field data,burst_surrogate or FEA,P1,Addressed,Screen 5 Tab 2: Stress Analysis - von Mises,GET /api/designs/{id}/stress,Addressed,Simulated
REQ-042,FEA-Results,Doc-08,Phase 7,Hoop stress distribution,5-Details,Hoop stress contour,σ_hoop field,stress_surrogate,P1,Addressed,Screen 5 Tab 2: Stress Type Selector,GET /api/designs/{id}/stress?type=hoop,Addressed,Simulated
REQ-043,FEA-Results,Doc-08,Phase 7,Axial stress distribution,5-Details,Axial stress contour,σ_axial field,stress_surrogate,P1,Addressed,Screen 5 Tab 2: Stress Type Selector,GET /api/designs/{id}/stress?type=axial,Addressed,Simulated
REQ-044,FEA-Results,Doc-08,Phase 7,Maximum stress location identification,5-Details,Max stress marker/highlight,Max stress coords,stress_surrogate,P1,Addressed,Screen 5 Tab 2: Maximum Stress Panel,GET /api/designs/{id}/stress,Addressed,Simulated
REQ-045,FEA-Results,Doc-08,Phase 7,Stress margin calculation display,5-Details,Margin percentage,Allowable vs actual,stress_surrogate,P1,Addressed,Screen 5 Tab 2: Margin Column,GET /api/designs/{id}/stress,Addressed,Simulated
REQ-046,FEA-Results,Doc-08,Phase 7,Per-layer stress breakdown,5-Details,Layer stress table,Per-layer stress,stress_surrogate,P1,Addressed,Screen 5 Tab 2: Layer Stress Table,GET /api/designs/{id}/stress,Addressed,Simulated
REQ-047,FEA-Results,Doc-08,Phase 7,Tsai-Wu failure index display,5-Details,Failure index contour,Tsai-Wu field,stress_surrogate,P1,Addressed,Screen 5 Tab 3: Tsai-Wu Contour,GET /api/designs/{id}/failure,Addressed,Simulated
REQ-048,FEA-Results,Doc-08,Phase 7,Load case selector (test vs burst),5-Details,Load case dropdown,Multiple load results,stress_surrogate,P1,Addressed,Screen 5 Tab 2: Load Case Selector,GET /api/designs/{id}/stress?load_case=*,Addressed,Simulated
REQ-049,Failure,Doc-08,Phase 8,Predicted failure mode display,5-Details,Failure mode indicator,Failure prediction,failure_mode_classifier,P1,Addressed,Screen 5 Tab 3: Predicted Failure Mode,GET /api/designs/{id}/failure,Addressed,Static
REQ-050,Failure,Doc-08,Phase 8,First ply failure identification,5-Details,FPF layer highlight,FPF analysis,failure_mode_classifier,P1,Addressed,Screen 5 Tab 3: First Ply Failure,GET /api/designs/{id}/failure,Addressed,Static
REQ-051,Failure,Doc-08,Phase 8,Progressive failure sequence,5-Details,Failure sequence timeline,Progressive analysis,failure_mode_classifier,P1,Addressed,Screen 5 Tab 3: Progressive Failure Sequence,GET /api/designs/{id}/failure,Addressed,Static
REQ-052,Failure,Doc-08,Phase 8,Failure mode confirmation (fiber breakage preferred),5-Details,Pass/fail indicator,Mode verification,failure_mode_classifier,P1,Addressed,Screen 5 Tab 3: is_preferred Flag,GET /api/designs/{id}/failure,Addressed,Static
REQ-053,Failure,Doc-09,3.2,Hashin damage criteria display,5-Details,Hashin indices table,Hashin calculations,failure_mode_classifier,P2,Addressed,Screen 5 Tab 3: Hashin Indices Table,GET /api/designs/{id}/failure,Addressed,Static
REQ-054,Thermal,Doc-08,Phase 9,Fast-fill temperature analysis,5-Details,Temperature profile,Thermal simulation,thermal_surrogate,P1,Addressed,Screen 5 Tab 4: Fast-Fill Analysis,GET /api/designs/{id}/thermal,Addressed,Simulated
REQ-055,Thermal,Doc-08,Phase 9,Peak temperature display,5-Details,Max temp indicator,Peak temp calc,thermal_surrogate,P1,Addressed,Screen 5 Tab 4: Peak Temperatures,GET /api/designs/{id}/thermal,Addressed,Simulated
REQ-056,Thermal,Doc-08,Phase 9,Thermal stress contribution,5-Details,Thermal stress value,Thermal stress calc,thermal_surrogate,P1,Addressed,Screen 5 Tab 4: Thermal Stress Components,GET /api/designs/{id}/thermal,Addressed,Simulated
REQ-057,Thermal,Doc-08,Phase 9,Extreme temperature performance,5-Details,Hot/cold soak results,Extreme temp analysis,thermal_surrogate,P1,Addressed,Screen 5 Tab 4: Extreme Temperature Table,GET /api/designs/{id}/thermal,Addressed,Simulated
REQ-058,Optimization,Doc-08,Phase 4,Live optimization progress display,4-Optimization,Progress bar with animation,Progress updates,NSGA-II engine,P1,Addressed,Screen 3: Progress Bar,GET /api/optimization/{id}/stream,Addressed,Simulated
REQ-059,Optimization,Doc-08,Phase 4,Generation counter,4-Optimization,Generation number,Current generation,NSGA-II engine,P1,Addressed,Screen 3: Generation Counter,GET /api/optimization/{id}/stream,Addressed,Simulated
REQ-060,Optimization,Doc-08,Phase 4,Designs evaluated counter,4-Optimization,Count display,Evaluation count,NSGA-II engine,P1,Addressed,Screen 3: Designs Evaluated,GET /api/optimization/{id}/stream,Addressed,Simulated
REQ-061,Optimization,Doc-08,Phase 4,Current Pareto front size,4-Optimization,Pareto size indicator,Front size,NSGA-II engine,P1,Addressed,Screen 3: Pareto Front Size,GET /api/optimization/{id}/stream,Addressed,Simulated
REQ-062,Optimization,Doc-10,NSGA-II,Current best designs display,4-Optimization,Best designs table,Current best,NSGA-II engine,P1,Addressed,Screen 3: Current Best Designs,GET /api/optimization/{id}/stream,Addressed,Simulated
REQ-063,Optimization,Doc-10,NSGA-II,Convergence chart,4-Optimization,Line chart,Convergence history,NSGA-II engine,P2,Addressed,Screen 3: Convergence Chart,GET /api/optimization/{id}/stream,Addressed,Simulated
REQ-064,Optimization,Doc-10,NSGA-II,Design space exploration scatter,4-Optimization,Scatter plot,Design samples,NSGA-II engine,P2,Addressed,Screen 3: Design Space Scatter,GET /api/optimization/{id}/stream,Addressed,Simulated
REQ-065,Results,Doc-08,Phase 4,Pareto frontier visualization,4-Results,2D/3D Pareto plot,Pareto designs,Optimizer output,P1,Addressed,Screen 4: Pareto Frontier Plot,GET /api/optimization/{id}/results,Addressed,Static
REQ-066,Results,Doc-08,Phase 4,Interactive Pareto plot (hover/select),4-Results,Interactive chart,Design selection,UI interaction,P1,Addressed,Screen 4: Interactive Pareto,GET /api/optimization/{id}/results,Addressed,Static
REQ-067,Results,Doc-08,Phase 4,Design selection from Pareto,4-Results,Click to select,Selected design ID,UI interaction,P1,Addressed,Screen 4: Click to Select,GET /api/optimization/{id}/results,Addressed,Static
REQ-068,Results,Doc-08,Phase 4,Trade-off category labels,4-Results,Category tags,Trade-off classification,Optimizer output,P1,Addressed,Screen 4: Trade-off Category,GET /api/optimization/{id}/results,Addressed,Static
REQ-069,Results,Doc-08,Phase 4,Pareto designs table,4-Results,Data table,All Pareto designs,Optimizer output,P1,Addressed,Screen 4: Pareto Designs Table,GET /api/optimization/{id}/results,Addressed,Static
REQ-070,Results,Doc-08,Phase 4,Recommended design highlight,4-Results,Recommendation badge,Recommendation logic,Recommender,P1,Addressed,Screen 4: Recommended Design,GET /api/optimization/{id}/results,Addressed,Static
REQ-071,Results,Doc-08,Phase 4,Multi-design comparison,6-Comparison,Comparison table,Multiple designs,Comparison engine,P1,Addressed,Screen 6: Design Comparison,POST /api/compare,Addressed,Static
REQ-072,Results,Doc-08,Phase 4,Radar chart comparison,6-Comparison,Radar chart,Normalized metrics,Comparison engine,P1,Addressed,Screen 6: Radar Chart,POST /api/compare,Addressed,Static
REQ-073,Results,Doc-08,Phase 4,Side-by-side metrics table,6-Comparison,Comparison table,Design metrics,Comparison engine,P1,Addressed,Screen 6: Comparison Table,POST /api/compare,Addressed,Static
REQ-074,Results,Doc-08,Phase 4,Stress comparison visualization,6-Comparison,Side-by-side stress,Stress data per design,stress_surrogate,P2,Addressed,Screen 6: Stress Comparison,POST /api/compare,Addressed,Static
REQ-075,Results,Doc-08,Phase 4,Better/worse indicators,6-Comparison,Comparison arrows,Relative ranking,Comparison engine,P1,Addressed,Screen 6: Better Column,POST /api/compare,Addressed,Static
REQ-076,Reliability,Doc-08,Phase 11,Monte Carlo results display,5-Details,P(failure) value,MC simulation results,reliability_estimator,P1,Addressed,Screen 5 Tab 5: Monte Carlo Results,GET /api/designs/{id}/reliability,Addressed,Simulated
REQ-077,Reliability,Doc-08,Phase 11,Burst pressure distribution histogram,5-Details,Histogram chart,Burst distribution,reliability_estimator,P1,Addressed,Screen 5 Tab 5: Burst Histogram,GET /api/designs/{id}/reliability,Addressed,Simulated
REQ-078,Reliability,Doc-08,Phase 11,Confidence intervals display,5-Details,CI bounds,Percentile values,reliability_estimator,P1,Addressed,Screen 5 Tab 5: Confidence Intervals,GET /api/designs/{id}/reliability,Addressed,Simulated
REQ-079,Reliability,Doc-09,3.3,Uncertainty source breakdown,5-Details,Pie/bar chart,Variance decomposition,reliability_estimator,P1,Addressed,Screen 5 Tab 5: Uncertainty Breakdown,GET /api/designs/{id}/reliability,Addressed,Simulated
REQ-080,Reliability,Doc-09,3.3,Sensitivity analysis tornado chart,5-Details,Tornado chart,Sensitivity coefficients,reliability_estimator,P1,Addressed,Screen 5 Tab 5: Sensitivity Tornado,GET /api/designs/{id}/reliability,Addressed,Simulated
REQ-081,Reliability,Doc-09,3.3,Key insight identification,5-Details,Insight callout,Analysis summary,Explainer LLM,P1,Addressed,Screen 5 Tab 5: Key Insight,GET /api/designs/{id}/reliability,Addressed,Static
REQ-082,Reliability,Doc-08,Phase 11,Safety factor vs reliability comparison,5-Details,Factor comparison,SF vs P(fail),reliability_estimator,P2,Addressed,Screen 5 Tab 5: Safety Factor Section,GET /api/designs/{id}/reliability,Addressed,Static
REQ-083,Reliability,Doc-08,Phase 11,CoV interpretation,5-Details,CoV explanation,Statistical context,Static content,P2,Addressed,Screen 5 Tab 5: CoV Interpretation,GET /api/designs/{id}/reliability,Addressed,Static
REQ-084,Compliance,Doc-08,Phase 4,Standards compliance status,4-Results,Pass/fail badges,Compliance check,Standards checker,P1,Addressed,Screen 4: Compliance Status,GET /api/designs/{id}/compliance,Addressed,Static
REQ-085,Compliance,Doc-08,Phase 4,Per-standard compliance detail,4-Results,Expandable standard rows,Per-standard results,Standards checker,P1,Addressed,Screen 4: Per-Standard Detail,GET /api/designs/{id}/compliance,Addressed,Static
REQ-086,Compliance,Doc-08,Phase 4,Clause-by-clause breakdown,7-Export,Clause table,Clause-level compliance,Standards checker,P2,Addressed,Screen 8: Clause Breakdown,GET /api/designs/{id}/compliance,Addressed,Static
REQ-087,Compliance,Doc-08,Phase 4,ISO 11119-3 specific checks,4-Results,ISO checklist,ISO requirements,Standards checker,P1,Addressed,Screen 4: ISO 11119-3 Section,GET /api/designs/{id}/compliance,Addressed,Static
REQ-088,Compliance,Doc-08,Phase 4,UN R134 specific checks,4-Results,UN R134 checklist,UN R134 requirements,Standards checker,P1,Addressed,Screen 4: UN R134 Section,GET /api/designs/{id}/compliance,Addressed,Static
REQ-089,Compliance,Doc-08,Phase 4,EC 79 specific checks,4-Results,EC 79 checklist,EC 79 requirements,Standards checker,P1,Addressed,Screen 4: EC 79 Section,GET /api/designs/{id}/compliance,Addressed,Static
REQ-090,Validation,Doc-08,Phase 6,Surrogate model confidence display,6-Validation,R² scores table,Model accuracy,Surrogate metadata,P1,Addressed,Screen 7: Surrogate Confidence,GET /api/designs/{id}/surrogate-confidence,Addressed,Static
REQ-091,Validation,Doc-08,Phase 6,Prediction confidence intervals,6-Validation,CI for predictions,Uncertainty bounds,Surrogate metadata,P1,Addressed,Screen 7: Prediction CIs,GET /api/designs/{id}/surrogate-confidence,Addressed,Static
REQ-092,Validation,Doc-08,Phase 6,Validation FEA recommendation,6-Validation,FEA suggestion,When to validate,Validation logic,P1,Addressed,Screen 7: Validation FEA Button,GET /api/designs/{id}/surrogate-confidence,Addressed,Static
REQ-093,Validation,Doc-08,Phase 6,Model accuracy by output,6-Validation,Per-output R²,Accuracy breakdown,Surrogate metadata,P2,Addressed,Screen 7: Per-Output Accuracy,GET /api/designs/{id}/surrogate-confidence,Addressed,Static
REQ-094,Testing,Doc-08,Phase 12,Test plan generation,6-Validation,Test plan table,Test requirements,Test planner,P1,Addressed,Screen 7: Test Plan Table,GET /api/designs/{id}/test-plan,Addressed,Static
REQ-095,Testing,Doc-08,Phase 12,Required test types list,6-Validation,Test type list,Test categories,Standards DB,P1,Addressed,Screen 7: Test Types Column,GET /api/designs/{id}/test-plan,Addressed,Static
REQ-096,Testing,Doc-08,Phase 12,Test article quantities,6-Validation,Article count,Quantity calc,Test planner,P1,Addressed,Screen 7: Articles Column,GET /api/designs/{id}/test-plan,Addressed,Static
REQ-097,Testing,Doc-08,Phase 12,Estimated test duration,6-Validation,Duration estimate,Time calc,Test planner,P1,Addressed,Screen 7: Duration Column,GET /api/designs/{id}/test-plan,Addressed,Static
REQ-098,Testing,Doc-08,Phase 12,Specific test parameters (cycles temp range),6-Validation,Test parameters table,Test specs,Standards DB,P1,Addressed,Screen 7: Parameters Column,GET /api/designs/{id}/test-plan,Addressed,Static
REQ-099,Monitoring,Doc-06,Sentry,Through-life monitoring plan,6-Validation,Monitoring spec panel,Sensor locations,Sentry integration,P1,Addressed,Screen 7: Sentry Monitoring Section,GET /api/designs/{id}/sentry,Addressed,Static
REQ-100,Monitoring,Doc-06,Sentry,Critical inspection points,6-Validation,Inspection point markers,Critical locations,stress_surrogate,P1,Addressed,Screen 7: Critical Monitoring Points List,GET /api/designs/{id}/sentry,Addressed,Static
REQ-101,Monitoring,Doc-06,Sentry,Sensor location recommendations,6-Validation,Sensor placement on 3D,Sensor coords,Sentry integration,P1,Addressed,Screen 7: 3D Model with Sensor Markers,GET /api/designs/{id}/sentry,Addressed,Static
REQ-102,Monitoring,Doc-06,Sentry,Inspection interval recommendations,6-Validation,Inspection schedule,Interval calc,Damage tolerance,P2,Addressed,Screen 7: Interval Column,GET /api/designs/{id}/sentry,Addressed,Static
REQ-103,Manufacturing,Doc-08,Phase 10,Winding sequence specification,7-Export,Winding order table,Winding sequence,Manufacturing spec,P1,Addressed,Screen 8: Winding Sequence Spec,POST /api/export,Addressed,Static
REQ-104,Manufacturing,Doc-08,Phase 10,Fiber tension settings,7-Export,Tension value,Tension spec,Manufacturing spec,P2,Addressed,Screen 8: Manufacturing Preview - Tension,POST /api/export,Addressed,Static
REQ-105,Manufacturing,Doc-08,Phase 10,Cure cycle specification,7-Export,Cure cycle chart/table,Cure profile,Manufacturing spec,P1,Addressed,Screen 8: Cure Cycle Chart,POST /api/export,Addressed,Static
REQ-106,Manufacturing,Doc-08,Phase 10,Post-cure requirements,7-Export,Post-cure spec,Post-cure profile,Manufacturing spec,P2,Addressed,Screen 8: Cure Cycle - Post-cure,POST /api/export,Addressed,Static
REQ-107,Manufacturing,Doc-08,Phase 10,Quality control plan,7-Export,QC checklist,QC requirements,QC generator,P1,Addressed,Screen 8: QC Inspection Plan Checkbox,POST /api/export,Addressed,Static
REQ-108,Manufacturing,Doc-08,Phase 10,Dimensional tolerances,7-Export,Tolerance table,Tolerance specs,Manufacturing spec,P2,Addressed,Screen 8: Dimensional Tolerances Checkbox,POST /api/export,Addressed,Static
REQ-109,Manufacturing,Doc-08,Phase 10,Ultrasonic inspection requirements,7-Export,NDE spec,Inspection criteria,QC generator,P2,Addressed,Screen 8: NDE Requirements Checkbox,POST /api/export,Addressed,Static
REQ-110,Manufacturing,Doc-08,Phase 10,Accept/reject criteria,7-Export,Criteria table,Acceptance limits,QC generator,P2,Addressed,Screen 8: Accept/Reject Criteria Checkbox,POST /api/export,Addressed,Static
REQ-111,Export,Doc-08,Phase 13,STEP file export,7-Export,STEP download,3D geometry,CAD export,P1,Addressed,Screen 8: Geometry Files - STEP,GET /api/export/{id}/download,Addressed,Static
REQ-112,Export,Doc-08,Phase 13,DXF drawing export,7-Export,DXF download,2D drawings,CAD export,P2,Addressed,Screen 8: Geometry Files - DXF,GET /api/export/{id}/download,Addressed,Static
REQ-113,Export,Doc-08,Phase 10,Dome coordinates CSV,7-Export,CSV download,Dome coords,Geometry generator,P1,Addressed,Screen 8: Geometry Files - Dome CSV,GET /api/export/{id}/download,Addressed,Static
REQ-114,Export,Doc-08,Phase 10,Layup definition CSV,7-Export,CSV download,Layup data,Optimizer output,P1,Addressed,Screen 8: Manufacturing Data - Layup CSV,GET /api/export/{id}/download,Addressed,Static
REQ-115,Export,Doc-08,Phase 5,Winding program (NC code),7-Export,NC file download,NC code,Winding simulator,P2,Addressed,Screen 8: Manufacturing Data - NC,GET /api/export/{id}/download,Addressed,Static
REQ-116,Export,Doc-08,Phase 13,Design report PDF,7-Export,PDF download,Report data,Report generator,P1,Addressed,Screen 8: Analysis Reports - Design Report,GET /api/export/{id}/download,Addressed,Static
REQ-117,Export,Doc-08,Phase 13,Stress analysis report,7-Export,PDF section,Analysis results,Report generator,P1,Addressed,Screen 8: Analysis Reports - Stress Report,GET /api/export/{id}/download,Addressed,Static
REQ-118,Export,Doc-08,Phase 13,Certification documentation package,7-Export,Doc bundle download,All cert docs,Doc generator,P1,Addressed,Screen 8: Compliance Documentation,GET /api/export/{id}/download,Addressed,Static
REQ-119,Export,Doc-08,Phase 13,Material test certificates template,7-Export,Template download,Material specs,Material DB,P2,Addressed,Screen 8: Certification Support,GET /api/export/{id}/download,Addressed,Static
REQ-120,Export,Doc-08,Phase 13,Traceability matrix template,7-Export,Template download,Traceability format,Doc generator,P2,Addressed,Screen 8: Certification Support,GET /api/export/{id}/download,Addressed,Static
REQ-121,UI-General,Doc-08,Agent Output,Workflow progress indicator,All,Step indicator bar,Current step,UI state,P1,Addressed,Global: Workflow Progress Bar,N/A (Frontend only),Addressed,N/A
REQ-122,UI-General,Doc-08,Agent Output,Step navigation (back/forward),All,Navigation buttons,Step transitions,UI state,P1,Addressed,Global: Back/Forward Buttons,N/A (Frontend only),Addressed,N/A
REQ-123,UI-General,Doc-08,Agent Output,Data persistence across steps,All,State management,Workflow state,UI state,P1,Addressed,Global: State Persistence,N/A (Frontend only),Addressed,N/A
REQ-124,UI-General,Doc-10,Execution,Execution time display,4-Results,Time metric,Elapsed time,Timer,P1,Addressed,Screen 3: Elapsed Time + Screen 4,GET /api/optimization/{id}/stream,Addressed,Simulated
REQ-125,UI-General,Doc-10,Execution,Total evaluations display,4-Results,Count metric,Eval count,NSGA-II engine,P1,Addressed,Screen 4: Evaluation Count,GET /api/optimization/{id}/results,Addressed,Static
REQ-126,Explainer,Doc-09,5.1,Engineering rationale for recommendations,4-Results,Explanation panel,Rationale text,Explainer LLM,P1,Addressed,Screen 4: WHY DESIGN C Panel,GET /api/optimization/{id}/results,Addressed,Static
REQ-127,Explainer,Doc-08,Agent Output,Why not other options explanation,2-Concept,Expandable explanations,Alternative analysis,Explainer LLM,P1,Addressed,Screen 2: Why Not buttons,POST /api/tank-type/recommend,Addressed,Static
REQ-128,Explainer,Doc-09,5.1,Trust-building through transparency,All,Show-your-work options,Calculation steps,UI design,P1,Addressed,Global: Expandable Rationale Sections,N/A (Frontend only),Addressed,N/A
